x,y
-4.858932876586914062e+01,1.163357315063476562e+02
-4.858932876586914062e+01,1.163357315063476562e+02
-4.862473297119140625e+01,1.168760375976562358e+02
-4.867663955688476562e+01,1.174437637329101562e+02
-4.874562072753906250e+01,1.180583114624023438e+02
-4.884115600585937500e+01,1.187212600708007812e+02
-4.896265792846679688e+01,1.194307937622070455e+02
-4.912166595458984375e+01,1.201861724853515625e+02
-4.933513259887695312e+01,1.209773635864257812e+02
-4.958768844604492188e+01,1.217877883911132812e+02
-4.987487030029297586e+01,1.225816421508789205e+02
